"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","Findings","DocketUrl"
"CEN18FA063","ACC","96543","2017-12-31T13:56:00Z","Punta Islita",,"Costa Rica",,"TI-BEI","false","Aviation","DirectorBrief","2019-12-16T05:00:00Z","Fatal","12","0","0","The flight crew's failure to maintain airspeed while maneuvering to exit an area of rising terrain, which resulted in an exceedance of the airplane's critical angle of attack and an aerodynamic stall. Contributing to the accident was the flight crew's decision to continue the takeoff toward rising terrain that likely exceeded the airplane's climb capability, the lack of adequate weather reporting available for wind determination, and the lack of documented training for an airport requiring a non-standard departure.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Airspeed - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Angle of attack - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Flight crew, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Flight crew, Aircraft - Aircraft oper/perf/capability - Aircraft capability - Climb capability - Capability exceeded, Organizational issues - Support/oversight/monitoring - Training - (general) - Operator, Organizational issues - Management - Resources - Availability of equipment - Meteorological service","https://data.ntsb.gov/Docket?ProjectID=96543"
"DCA18IA081","INC","96614","2017-12-29T20:40:00Z","Pullman","Washington","United States",,"N412QX","false","Aviation","DirectorBrief","2019-10-24T04:00:00Z","None","0","0","0","the flight crew's misidentification of the taxiway as the landing runway due to the failure of the runway lighting that caused only the taxiway lights to be illuminated.","Environmental issues - Operating environment - Airport facilities/design - Airport lighting - Contributed to outcome, Personnel issues - Action/decision - Info processing/decision - Identification/recognition - Flight crew","https://data.ntsb.gov/Docket?ProjectID=96614"
"OPS18IA003","INC","96546","2017-12-24T20:08:00Z","Medford","Oregon","United States",,"N162PQ","false","Aviation","DirectorBrief","2021-03-31T04:00:00Z",,,,,"The incident was caused by the air traffic controller assigning an altitude below the published procedure altitude for the approach segment to be flown prior to the aircraft being established on a published portion of the approach. Contributing to the incident was the flight crew's failure to identify the appropriate altitude for the segment of the approach being flown and query the controller before subsequent decent below the published minimum altitude.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Flight crew, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - ATC personnel","https://data.ntsb.gov/Docket?ProjectID=96546"
"ENG18WA024","ACC","97183","2017-12-19T09:40:00Z","Naryan-Mar",,"Russia",,"RA-01460","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=97183"
"DCA18CA049","ACC","96503","2017-12-18T01:45:00Z","Saint Louis","Missouri","United States",,"N128SY","false","Aviation","DirectorBrief","2020-07-08T04:00:00Z","Serious","0","1","0","the abrupt pitch up maneuver which caused the flight attendant to lose her balance and injure her ankle.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Flight crew","https://data.ntsb.gov/Docket?ProjectID=96503"
"ERA18LA053","ACC","96514","2017-12-15T08:50:00Z","Islamorada","Florida","United States",,"N911FK","false","Aviation","DirectorBrief","2021-02-02T05:00:00Z","None","0","0","0","The pilot's activation of the rotor brake while the No. 2 engine was still set to govern the power turbine speed, which resulted in continuous power being applied to the rotor while the rotor brake was engaged and led to excessive friction, heat, and a subsequent fire in the area of the rotor brake.","Personnel issues - Action/decision - Action - Incorrect action selection - Pilot, Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot","https://data.ntsb.gov/Docket?ProjectID=96514"
"GAA18CA088","ACC","96502","2017-12-14T15:23:00Z","Kwigillingok","Alaska","United States",,"N8209C","false","Aviation","DirectorBrief","2018-07-05T04:00:00Z","None","0","0","0","The pilot’s decision to land with the sun in his eyes, which resulted in a short landing.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Environmental issues - Conditions/weather/phenomena - Light condition - Glare - Effect on personnel, Environmental issues - Physical environment - Object/animal/substance - Snow/ice - Contributed to outcome, Environmental issues - Physical environment - Object/animal/substance - Snow/ice - Effect on operation","https://data.ntsb.gov/Docket?ProjectID=96502"
"DCA18WA054","INC","96509","2017-12-13T20:48:00Z","Cusco",,"Peru",,"OB-212-P","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=96509"
"DCA18CA042","ACC","96468","2017-12-12T09:35:00Z","Detroit","Michigan","United States",,"N924DL","false","Aviation","DirectorBrief","2020-07-08T04:00:00Z","None","0","0","0","failure of the flight crew to confirm the left engine throttle lever was at idle during engine start.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Flight crew","https://data.ntsb.gov/Docket?ProjectID=96468"
"DCA18WA077","INC","96596","2017-12-09T21:47:00Z","Almaty",,"Kazakhstan",,"4P-KEC","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=96596"
